,Coefficient
vertical_drop,0.0012175093136045736
trams,0.8056447285759056
fastEight,1.5081327206480362
fastSixes,0.08118676195201693
fastQuads,0.08339091576325765
quad,0.7471421934321253
triple,0.3901668997800505
double,0.2554230247636002
surface,1.022943023612428
total_chairs,0.5592268830973472
Runs,0.028197381316802998
TerrainParks,0.07596313320320285
LongestRun_mi,0.27835652746256284
SkiableTerrain_ac,0.0002479375737950208
Snow Making_ac,0.0020376035465099265
daysOpenLastYear,0.030439673374517442
yearsOpen,0.0027666357302546392
averageSnowfall,0.01628340058539881
AdultWeekday,0.84096352617076
projectedDaysOpen,0.006605807072071144
NightSkiing_ac,0.005228924812867588
